"date","state","fips","positive","negative","pending","total","totalTestResults","negativeIncrease","positiveIncrease","totalTestResultsIncrease"
20200228,"CA","06075",0,2,0,2,2,2,0,2
20200301,"CA","06075",0,4,0,4,4,2,0,2
20200302,"CA","06075",0,6,0,6,6,2,0,2
20200303,"CA","06075",2,11,0,13,13,5,2,7
20200304,"CA","06075",2,22,0,24,24,11,0,11
20200305,"CA","06075",8,35,0,43,43,13,6,19
20200306,"CA","06075",9,55,0,64,64,20,1,21
20200307,"CA","06075",16,66,0,82,82,11,7,18
20200308,"CA","06075",19,72,0,91,91,6,3,9
20200309,"CA","06075",23,117,0,140,140,45,4,49
20200310,"CA","06075",30,179,0,209,209,62,7,69
20200311,"CA","06075",42,246,0,290,290,67,12,81
20200312,"CA","06075",51,389,0,442,442,143,9,152
20200313,"CA","06075",69,558,0,629,629,169,18,187
20200314,"CA","06075",79,621,0,702,702,63,10,73
20200315,"CA","06075",90,702,0,795,795,81,11,93
20200316,"CA","06075",131,895,0,1031,1031,193,41,236
20200317,"CA","06075",160,1113,0,1278,1278,218,29,247
20200318,"CA","06075",186,1336,0,1529,1529,223,26,251
20200319,"CA","06075",208,1531,0,1746,1746,195,22,217
20200320,"CA","06075",246,1727,0,1982,1982,196,38,236
20200321,"CA","06075",263,1838,0,2110,2110,111,17,128
20200322,"CA","06075",290,1931,0,2230,2230,93,27,120
20200323,"CA","06075",327,2177,0,2513,2513,246,37,283
20200324,"CA","06075",376,2404,0,2789,2789,227,49,276
20200325,"CA","06075",424,2661,0,3095,3095,257,48,306
20200326,"CA","06075",469,2960,0,3439,3439,299,45,344
20200327,"CA","06075",504,3316,0,3831,3831,356,35,392
20200328,"CA","06075",527,3525,0,4063,4063,209,23,232
20200329,"CA","06075",543,3625,0,4182,4182,100,16,119
20200330,"CA","06075",590,3877,0,4482,4482,252,47,300
20200331,"CA","06075",650,4123,0,4788,4788,246,60,306
20200401,"CA","06075",695,4384,0,5095,5095,261,45,307
20200402,"CA","06075",739,4663,0,5420,5420,279,44,325
20200403,"CA","06075",769,4945,0,5732,5732,282,30,312
20200404,"CA","06075",789,5087,0,5894,5894,142,20,162
20200405,"CA","06075",826,5265,0,6109,6109,178,37,215
20200406,"CA","06075",889,5600,0,6508,6508,335,63,399
20200407,"CA","06075",955,6014,0,6988,6988,414,66,480
20200408,"CA","06075",1020,6411,0,7450,7450,397,65,462
20200409,"CA","06075",1106,6910,0,8036,8036,499,86,586
20200410,"CA","06075",1151,7415,0,8586,8586,505,45,550
20200411,"CA","06075",1206,7666,0,8892,8892,251,55,306
20200412,"CA","06075",1237,7827,0,9084,9084,161,31,192
20200413,"CA","06075",1280,8246,0,9547,9547,419,43,463
20200414,"CA","06075",1342,8735,0,10098,10098,489,62,551
20200415,"CA","06075",1412,9177,0,10610,10610,442,70,512
20200416,"CA","06075",1479,9667,0,11167,11167,490,67,557
20200417,"CA","06075",1540,10188,0,11750,11750,521,61,583
20200418,"CA","06075",1561,10441,0,12025,12025,253,21,275
20200419,"CA","06075",1606,10684,0,12313,12313,243,45,288
20200420,"CA","06075",1669,11282,0,12974,12974,598,63,661
20200421,"CA","06075",1723,11858,0,13604,13604,576,54,630
20200422,"CA","06075",1773,12726,0,14523,14523,868,50,919
20200423,"CA","06075",1835,13820,0,15682,15682,1094,62,1159
20200424,"CA","06075",1905,15077,0,17011,17011,1257,70,1329
20200425,"CA","06075",1958,16874,0,18866,18866,1797,53,1855
20200426,"CA","06075",1996,18267,0,20300,20300,1393,38,1434
20200427,"CA","06075",2065,20121,0,22229,22229,1854,69,1929
20200428,"CA","06075",2157,22932,0,25144,25144,2811,92,2915
20200429,"CA","06075",2266,24213,0,26535,26535,1281,109,1391
20200430,"CA","06075",2320,25420,0,27797,27797,1207,54,1262
20200501,"CA","06075",2373,26824,0,29254,29254,1404,53,1457
20200502,"CA","06075",2429,27737,0,30223,30223,913,56,969
20200503,"CA","06075",2451,28156,0,30664,30664,419,22,441
20200504,"CA","06075",2518,29328,0,31904,31904,1172,67,1240
20200505,"CA","06075",2580,30591,0,33231,33231,1263,62,1327
20200506,"CA","06075",2631,32090,0,34783,34783,1499,51,1552
20200507,"CA","06075",2671,33779,0,36513,36513,1689,40,1730
20200508,"CA","06075",2711,35527,0,38307,38307,1748,40,1794
20200509,"CA","06075",2728,36363,0,39165,39165,836,17,858
20200510,"CA","06075",2740,36906,0,39726,39726,543,12,561
20200511,"CA","06075",2780,38434,0,41297,41297,1528,40,1571
20200512,"CA","06075",2842,40040,0,42968,42968,1606,62,1671
